CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1013953500,Alabama,Butler,1329,569,760,1.6,69.8,26.3,0.2,0.0,0.0,1120,27222.0,9671.0,15284.0,2055.0,29.9,34.9,16.1,20.6,11.4,7.6,44.3,84.7,14.4,0.0,1.0,0.0,0.0,31.8,447,85.5,8.1,6.5,0.0,14.0
1015000200,Alabama,Calhoun,3358,1770,1588,0.4,37.7,57.6,0.0,0.0,0.0,2774,27161.0,4763.0,15601.0,2134.0,37.4,70.4,16.0,32.3,27.9,1.6,22.2,89.2,6.3,0.0,1.3,0.7,2.4,19.4,1335,76.7,22.3,1.0,0.0,14.6
1015000300,Alabama,Calhoun,2444,1114,1330,4.1,20.3,75.6,0.0,0.0,0.0,1792,15781.0,5337.0,12336.0,2742.0,48.2,71.3,18.4,35.1,21.5,9.8,15.2,76.1,17.0,1.6,5.4,0.0,0.0,16.5,716,72.2,24.4,3.4,0.0,27.2
1015000400,Alabama,Calhoun,2469,1079,1390,1.4,27.7,68.7,0.0,0.0,0.3,1848,22027.0,7317.0,14361.0,2591.0,35.4,52.7,15.8,29.2,25.1,5.2,24.7,79.2,19.9,0.0,0.0,0.0,0.9,27.3,713,76.0,20.2,3.8,0.0,17.1
1015000500,Alabama,Calhoun,1517,549,968,6.6,5.6,87.5,0.0,0.0,0.0,1072,15417.0,4491.0,12088.0,2247.0,54.1,86.6,3.9,34.6,10.8,6.5,44.2,78.5,14.0,0.0,1.7,3.1,2.7,17.7,489,83.4,14.7,1.8,0.0,16.4
1015000600,Alabama,Calhoun,1958,941,1017,0.5,21.8,71.7,0.0,0.0,0.0,1554,11996.0,4433.0,10360.0,2183.0,62.1,88.8,16.1,26.2,18.9,7.3,31.5,83.5,12.8,2.8,0.9,0.0,0.0,20.3,454,87.0,6.4,6.6,0.0,30.5
1015000700,Alabama,Calhoun,2785,1314,1471,2.2,49.2,34.1,0.5,7.1,0.0,1969,30048.0,9394.0,19045.0,2511.0,29.3,46.5,29.0,19.7,21.1,4.9,25.3,85.5,12.1,1.3,1.1,0.0,0.0,22.3,1105,88.3,11.3,0.4,0.0,19.1
1015000800,Alabama,Calhoun,1302,557,745,0.2,49.4,45.2,0.0,0.0,0.0,1055,18304.0,8713.0,16776.0,3167.0,26.8,30.8,27.9,28.8,22.3,0.0,21.1,74.5,15.5,0.0,6.4,2.7,0.9,16.5,337,92.3,5.0,2.7,0.0,17.4
1015000900,Alabama,Calhoun,3810,1606,2204,0.7,62.2,31.6,0.1,2.4,0.0,3033,50051.0,14504.0,29693.0,5201.0,21.4,38.9,38.9,14.7,34.3,2.4,9.7,89.2,5.6,0.0,2.5,0.9,1.9,22.8,1532,80.2,14.8,5.0,0.0,7.5
1015001000,Alabama,Calhoun,6093,3025,3068,4.9,66.0,25.5,0.0,1.6,0.0,4806,44882.0,9590.0,25508.0,2360.0,10.3,13.4,32.1,23.2,23.6,6.4,14.7,83.9,6.1,0.0,2.3,2.5,5.2,21.8,2812,75.4,21.1,3.5,0.0,13.4
1015001100,Alabama,Calhoun,6781,2954,3827,10.1,74.0,15.5,0.0,0.0,0.0,4859,51767.0,4576.0,24920.0,3380.0,11.5,19.9,31.8,15.2,25.4,8.8,18.7,85.6,12.9,0.1,0.9,0.0,0.5,18.7,3113,74.3,22.6,3.1,0.0,13.5
1015001201,Alabama,Calhoun,3300,1634,1666,9.6,52.5,31.9,0.0,2.2,0.0,2522,30273.0,6697.0,18568.0,2050.0,25.0,47.4,18.9,28.4,18.5,19.4,14.9,83.8,14.2,0.0,0.6,1.0,0.4,20.9,1298,77.9,15.0,7.1,0.0,14.7
